timepoint,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Treatment
0,360.4224,304.8188,170.82468,382.72,491.985,375.7,153.79,168.26368,708.72048,566.68248,494.41392,165.90704,499.85676,458.74296,641.84692,674.9184,207.831,454.5424,365.3624,383.30396,285.3344,oHSV + Trab.
1,,,,,,,,,1027.20384,774.67104,743.60832,240.14484,,,,,,,,,,oHSV + Trab.
3,,,,,,,,,1000.428,1013.688,934.02192,312.36608,523.4944,587.1216,773.9524,724.95072,409.31904,738.79468,499.408,517.2102,242.775,oHSV + Trab.
4,203.00904,193.10616,102.245,313.2272,179.712,554.34288,129.9272,91,,,,,,,,,,,,,,oHSV + Trab.
6,,,,,,,,,,,,,270.3168,307.0548,109.2,342.65504,165.1104,193.82272,542.17696,316.368,279.05696,oHSV + Trab.
7,148.42984,118.95104,168.3136,169.9048,183.17312,387.504,80.27136,60.4032,1086.566,928.746,448.93056,117.975,,,,,,,,,,oHSV + Trab.
9,,,,,,,,,849.1392,1093.52724,508.21524,116.064,,,,,138.4448,158.17984,589.30144,356.915,443.326,oHSV + Trab.
10,,,,,,,,,,,,,272.07648,228.15,262.0618,519.20336,,,,,,oHSV + Trab.
11,139.37924,103.05828,99.32624,40.04,117.975,382.5536,121.64256,108.45536,,,,,,,,,,,,,,oHSV + Trab.
13,97.86556,59.904,60.021,44.28,41.25,,,,782.92448,957.411,322.4052,58.968,,,,,132.08832,279.552,730.3608,317.55724,563.7632,oHSV + Trab.
14,,,,,,,,,,,,,223.61664,155.48416,168.3136,344.58372,,,,,,oHSV + Trab.
15,104.74776,20.7,50.336,24.91,36.3,276.20944,109.8162,96.30036,,,,,,,,,,,,,,oHSV + Trab.
16,,,,,,,,,786.5,994.70592,234,63.1774,,,,,130.02444,70.2,773.9524,445.25052,501.5192,oHSV + Trab.
17,,,,,,,,,,,,,175.90144,144.4716,164.00384,196.196,,,,,,oHSV + Trab.
18,29.5,25.3,26.79,36.3,0,221.21216,118.03012,92.49552,,,,,,,,,,,,,,oHSV + Trab.
20,20.67,22.56,37.58716,18.8,0,,,,728,963.144,182.351,35.04384,,,,,94.38,8.944,432.64,188.552,551.18336,oHSV + Trab.
21,,,,,,,,,,,,,89.7,165.90912,142.272,256.2768,,,,,,oHSV + Trab.
22,19.35,21.6,21.93,22.8,0,260.325,74.28096,55.809,,,,,,,,,,,,,,oHSV + Trab.
23,,,,,,,,,849.42,949.50908,185.679,35.83892,,,,,83.3976,0,379.392,169.884,803.7198,oHSV + Trab.
24,,,,,,,,,,,,,87.58464,149.76,119.95308,217.86336,,,,,,oHSV + Trab.
25,0,0,0,0,0,183.456,85.8,53.98796,,,,,,,,,,,,,,oHSV + Trab.
27,,,,,,,,,691.6,817.07756,81.55264,10.89,,,,,0,0,280.28,177.957,1414.868,oHSV + Trab.
28,,,,,,,,,,,,,64.064,79.07328,78.65676,228.75944,,,,,,oHSV + Trab.
29,0,0,0,0,0,157.61408,55.016,28.53344,,,,,,,,,,,,,,oHSV + Trab.
30,,,,,,,,,858.75868,816.89608,97.526,0,,,,,,,,,,oHSV + Trab.
31,,,,,,,,,,,,,87.45984,68.445,0,192.3584,,,,,,oHSV + Trab.
32,0,0,42.7,0,0,210.60208,67.6,6.708,,,,,,,,,,,,,,oHSV + Trab.
34,0,0,24.19,0,0,,,,649.2304,646.98816,63.18,0,,,,,10.4,0,246.89808,113.7032,1727.414,oHSV + Trab.
35,,,,,,117.20176,50.61472,5.6628,,,,,91.3952,56.11632,0,287.59952,,,,,,oHSV + Trab.
36,0,0,45.6,0,0,,,,550.16,577.044,73.66268,0,,,,,,,,,,oHSV + Trab.
38,,,,,,92.49552,53.35616,0,,,,,44.59,28.028,4.8048,467.40564,,,,,,oHSV + Trab.
39,0,0,13.65,0,0,,,,,,,,,,,,,,,,,oHSV + Trab.
41,0,97.526,12.54,0,0,101.45824,33.7896,0,348.0048,511.6644,34.398,0,,,,,28.665,0,228.488,221.676,2584.816,oHSV + Trab.
42,,,,,,,,,,,,,15.4128,0,11.856,352.768,,,,,,oHSV + Trab.
43,0,104.36608,22.08,0,0,,,,,,,,,,,,,,,,,oHSV + Trab.
44,,,,,,,,,411.51344,403.6032,0,0,,,,,0,0,158.81112,445.68784,,oHSV + Trab.
45,,,,,,119.96504,0,0,,,,,,,,,,,,,,oHSV + Trab.
46,0,146.7648,21.6,0,0,,,,,,,,,,,,,,,,,oHSV + Trab.
47,,,,,,,,,,,,,,,,,65,0,143.44096,601.965,,oHSV + Trab.
48,,,,,,,,,395.10224,366.98688,0,0,,,,,,,,,,oHSV + Trab.
49,0,217.152,0,0,0,84.3648,0,0,,,,,89.661,7.098,16.38,,,,,,,oHSV + Trab.
51,,,,,,,,,354.41536,366.72116,0,0,,,,,,,,,,oHSV + Trab.
52,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
53,0,469.248,0,0,0,,,,,,,,,,,,,,,,,oHSV + Trab.
55,,,,,,,,,402.0952,357.63728,0,0,,,,,169.23816,0,148.6888,767.99892,,oHSV + Trab.
56,0,390.8736,0,0,0,0,0,0,,,,,499.408,0,50.95844,,,,,,,oHSV + Trab.
58,,,,,,,,,,,,,,,,,262.58544,0,187.43296,877.29304,,oHSV + Trab.
59,,,,,,0,0,0,,,,,786.5,0,50.95844,,,,,,,oHSV + Trab.
60,0,401.21536,10.24,0,0,,,,,,,,,,,,,,,,,oHSV + Trab.
62,,,,,,,,,208.715,221.21216,0,0,860.52096,0,58.968,,349.401,0,235.1934,946.1088,,oHSV + Trab.
63,0,1503.125,10.08,0,0,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
65,,,,,,,,,411.51344,403.6032,0,0,,,,,317.28996,0,272.3292,1582.659,,oHSV + Trab.
66,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
67,0,2038.4,12.04,0,0,,,,,,,,,,,,,,,,,oHSV + Trab.
69,,,,,,,,,,,,,,0,204.3808,,826.49268,0,416,2182,,oHSV + Trab.
70,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
72,,,,,,,,,,,,,,0,297.34848,,826.49268,0,,,,oHSV + Trab.
73,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
76,,,,,,,,,,,,,,0,473.6732,,,,,,,oHSV + Trab.
77,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
79,,,,,,,,,,,,,,0,670.8,,,,,,,oHSV + Trab.
83,,,,,,,,,,,,,,0,998.41872,,,,,,,oHSV + Trab.
84,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
85,,,,,,,,,,,,,,0,1572.792,,,,,,,oHSV + Trab.
87,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
91,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
94,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
97,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
105,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
108,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
114,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
117,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
121,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
